fr0    inwait: 0.000    rwait: 0.000    render: 0.010     rfills: 0100    out_syncs: 0.000     out_waits: 0.019     copies: 0.001      

fr1    inwait: 0.000    rwait: 0.000    render: 0.007     rfills: 0110    out_syncs: 0.000     out_waits: 0.020     copies: 0.001      

fr2    inwait: 0.000    rwait: 0.000    render: 0.007     rfills: 0111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr3    inwait: 0.000    rwait: 0.000    render: 0.006     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr4    inwait: 0.000    rwait: 0.004    render: 0.007     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr5    inwait: 0.000    rwait: 0.034    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr6    inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr7    inwait: 0.000    rwait: 0.030    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr8    inwait: 0.000    rwait: 0.033    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr9    inwait: 0.000    rwait: 0.030    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr10   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr11   inwait: 0.000    rwait: 0.025    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr12   inwait: 0.000    rwait: 0.030    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr13   inwait: 0.000    rwait: 0.032    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr14   inwait: 0.000    rwait: 0.027    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr15   inwait: 0.000    rwait: 0.032    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr16   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr17   inwait: 0.000    rwait: 0.026    render: 0.012     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr18   inwait: 0.000    rwait: 0.027    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr19   inwait: 0.000    rwait: 0.028    render: 0.010     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr20   inwait: 0.000    rwait: 0.033    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr21   inwait: 0.000    rwait: 0.027    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr22   inwait: 0.000    rwait: 0.028    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr23   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr24   inwait: 0.000    rwait: 0.033    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr25   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr26   inwait: 0.000    rwait: 0.025    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr27   inwait: 0.000    rwait: 0.031    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr28   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr29   inwait: 0.000    rwait: 0.031    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr30   inwait: 0.000    rwait: 0.026    render: 0.015     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr31   inwait: 0.000    rwait: 0.025    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr32   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr33   inwait: 0.000    rwait: 0.033    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr34   inwait: 0.000    rwait: 0.026    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr35   inwait: 0.000    rwait: 0.032    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr36   inwait: 0.000    rwait: 0.025    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr37   inwait: 0.000    rwait: 0.033    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr38   inwait: 0.000    rwait: 0.026    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr39   inwait: 0.000    rwait: 0.034    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.222     copies: 0.001      

fr40   inwait: 0.000    rwait: 0.025    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.223     copies: 0.001      

fr41   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.003     copies: 0.001      

fr42   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.004     copies: 0.001      

fr43   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr44   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr45   inwait: 0.000    rwait: 0.029    render: 0.010     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr46   inwait: 0.000    rwait: 0.030    render: 0.010     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr47   inwait: 0.000    rwait: 0.034    render: 0.010     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr48   inwait: 0.000    rwait: 0.030    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr49   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr50   inwait: 0.000    rwait: 0.028    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr51   inwait: 0.000    rwait: 0.026    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr52   inwait: 0.000    rwait: 0.033    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.132     copies: 0.001      

fr53   inwait: 0.000    rwait: 0.026    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.133     copies: 0.001      

fr54   inwait: 0.000    rwait: 0.027    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.003     copies: 0.001      

fr55   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.004     copies: 0.001      

fr56   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr57   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr58   inwait: 0.000    rwait: 0.034    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr59   inwait: 0.000    rwait: 0.028    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr60   inwait: 0.000    rwait: 0.026    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr61   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr62   inwait: 0.000    rwait: 0.032    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr63   inwait: 0.000    rwait: 0.030    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr64   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr65   inwait: 0.000    rwait: 0.028    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr66   inwait: 0.000    rwait: 0.027    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr67   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr68   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr69   inwait: 0.000    rwait: 0.034    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr70   inwait: 0.000    rwait: 0.025    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr71   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr72   inwait: 0.000    rwait: 0.033    render: 0.010     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr73   inwait: 0.000    rwait: 0.030    render: 0.010     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr74   inwait: 0.000    rwait: 0.026    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr75   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr76   inwait: 0.000    rwait: 0.033    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr77   inwait: 0.000    rwait: 0.025    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr78   inwait: 0.000    rwait: 0.033    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr79   inwait: 0.000    rwait: 0.025    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr80   inwait: 0.000    rwait: 0.034    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr81   inwait: 0.000    rwait: 0.025    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr82   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr83   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr84   inwait: 0.000    rwait: 0.032    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr85   inwait: 0.000    rwait: 0.026    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr86   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr87   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr88   inwait: 0.000    rwait: 0.033    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr89   inwait: 0.000    rwait: 0.030    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr90   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr91   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr92   inwait: 0.000    rwait: 0.025    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr93   inwait: 0.000    rwait: 0.031    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr94   inwait: 0.000    rwait: 0.031    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr95   inwait: 0.000    rwait: 0.027    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr96   inwait: 0.000    rwait: 0.032    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr97   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr98   inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr99   inwait: 0.000    rwait: 0.029    render: 0.010     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

